Given Name;Family Name;Role;ORCID ID;Keywords;H Index;Citations;Organization;Past Institutions;Department Code;Specific Field;Internal
MARCO;ANTONIOTTI;Full Professor;0000-0002-2823-6838;Computational Biology, Bioinformatics, Computer Science, Machine Learning;27.0;2594.0;University of Milano-Bicocca;['Mylan (Switzerland)', 'Courant Institute of Mathematical Sciences', 'University of Milan', 'University of California, Los Angeles', 'University of Toronto', 'New York University', 'Rutgers, The State University of New Jersey'];(INFO-01/A);Computer Science;Disco
FRANCESCA;ARCELLI FONTANA;Full Professor;0000-0002-1195-530X;Software Engineering, Refactoring, Managing Technical Debt, Architectural Smell Detection, Software Quality Assessment;40.0;5789.0;University of Milano-Bicocca;['University of Salerno', 'Menarini Group (Italy)', 'University of Milan', 'University of Sannio', 'German Research Centre for Artificial Intelligence'];(IINF-05/A);Information Processing Systems;Disco
STEFANIA;BANDINI;Full Professor;0000-0002-7056-0543;artificial intelligence, complex systems, crowd-pedestrians modeling and simulation;35.0;4738.0;University of Milano-Bicocca;['Istituto Nazionale di Fisica Nucleare, Sezione di Milano', 'University of Bologna', 'Centre for Artificial Intelligence and Robotics', 'University of Milan', 'Umm al-Qura University', 'Intelligent Systems Research (United States)'];(INFO-01/A);Computer Science;Disco
PAOLA;BONIZZONI;Full Professor;0000-0001-7289-4988;Computer science, Bioinformatics;27.0;2458.0;University of Milano-Bicocca;"['University of Milan', 'École Polytechnique', 'Japan Advanced Institute of Science and Technology', 'University of Auckland', ""Laboratoire d'Informatique de l'École Polytechnique"", 'Institut Polytechnique de Bordeaux', 'Université de Bordeaux', 'Centre National de la Recherche Scientifique', 'Laboratoire Bordelais de Recherche en Informatique']";(INFO-01/A);Computer Science;Disco
DAVIDE ;CIUCCI;Full Professor;0000-0002-8083-7809;Rough sets, uncertainty management, fuzzy logic, artificial intelligence, knowledge representation;34.0;3449.0;University of Milano-Bicocca;['University of Milan', 'Université Toulouse III - Paul Sabatier', 'Institut de Recherche en Informatique de Toulouse', 'Université Toulouse-I-Capitole', 'Institut Polytechnique de Bordeaux', 'Université Toulouse - Jean Jaurès', 'University of Regina', 'DuBois Business College'];(INFO-01/A);Computer Science;Disco
GABRIELE;GIANINI;Full Professor;0000-0001-5186-0199;Machine Learning methods and applications;47.0;7011.0;University of Milano-Bicocca;;(INFO-01/A);Computer Science;Disco
LEONARDO;MARIANI;Full Professor;0000-0001-9527-7042;Software Testing, Software Analysis, Software Engineering, Computer Science;35.0;4892.0;University of Milano-Bicocca;['University of Milan', 'Haluoleo University', 'University of California, Irvine', 'RWTH Aachen University', 'Université Grenoble Alpes', 'University of Twente', 'University of St Andrews', 'Stony Brook University', 'Toyota Industries (United States)'];(IINF-05/A);Information Processing Systems;Disco
ANDREA;MAURINO;Full Professor;0000-0001-9803-3668;Data quality, semantic web, data management, data science;27.0;4634.0;University of Milano-Bicocca;['University of Milan', 'Sapienza University of Rome', 'Politecnico di Milano'];(INFO-01/A);Computer Science;Disco
ENZA;MESSINA;Full Professor;0000-0002-4062-0824;Optimization, Stochastic Programming, Machine Learning, Statistical Learning;25.0;2733.0;University of Milano-Bicocca;['Stavros Niarchos Foundation', 'University of Oslo', 'University of Minnesota', 'Lombardia Informatica (Italy)', 'University of California, Davis', 'Gheorghe Asachi Technical University of Iași', 'University of Milan', 'Brunel University of London'];(MATH-06/A);Operations Research;Disco
GABRIELLA;PASI;Full Professor;0000-0002-6080-8170;Information Retrieval, NLP, Artificial Intelligence, Data Science, Fuzzy Logic;42.0;8522.0;University of Milano-Bicocca;['IT University of Copenhagen', 'Tokyo Institute of Technology', 'Administration for Community Living', 'American Jewish Committee', 'RIKEN Center for Advanced Intelligence Project', 'Mongolia International University', 'Bar-Ilan University', 'University of Helsinki', 'Tel Aviv University'];(INFO-01/A);Computer Science;Disco
