Doi,Title,Year,Type,Url,Authors,Topic,Subfield,Field,Domain,Cites,Cited_by,Keywords,Abstract
10.1093/bioinformatics/btae300,Scalable integration of multiomic single-cell data using generative adversarial networks,2024,journal-article,https://doi.org/10.1093/bioinformatics/btae300,"0000-0003-0617-6245, 0000-0001-8695-649X, 0000-0002-2568-9815, 0009-0007-0154-0884, 0000-0001-7362-3530, 0000-0002-2823-6838, 0000-0003-2973-5038, 0000-0003-0384-3700",Comprehensive Integration of Single-Cell Transcriptomic Data,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,81,0,"['Single-Cell', 'Single-Molecule Imaging', 'Data Integration', 'Phenotypic Profiling', 'Spatial Profiling']"
10.1371/journal.pcbi.1011557,A Bayesian method to infer copy number clones from single-cell RNA and ATAC sequencing,2023,journal-article,https://doi.org/10.1371/journal.pcbi.1011557,"0000-0002-3721-9984, 0000-0002-0156-3636, 0000-0002-2190-272X, 0000-0002-2823-6838, 0000-0003-4240-3265",Genomic Landscape of Cancer and Mutational Signatures,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,58,2,"['Cancer Genomics', 'Cancer Epigenetics', 'Single-Cell', 'Cell Heterogeneity', 'RNA-Seq']"
10.1016/j.neucom.2023.126576,Unity is strength: Improving the detection of adversarial examples with ensemble approaches,2023,journal-article,https://doi.org/10.1016/j.neucom.2023.126576,"0000-0001-8457-6979, 0000-0002-5742-8302, 0000-0002-2823-6838, 0000-0001-5452-1918",Adversarial Robustness in Deep Learning Models,Artificial Intelligence,Computer Science,Physical Sciences,37,6,"['Adversarial Examples', 'Detection', 'Dynamic Analysis', 'Ensemble learning']"
10.1038/s41467-023-41670-3,"Evolutionary signatures of human cancers revealed via genomic analysis of over 35,000 patients",2023,journal-article,https://doi.org/10.1038/s41467-023-41670-3,"0000-0003-1633-6310, 0009-0009-2492-8974, 0000-0002-6534-642X, 0000-0002-9618-3774, 0000-0002-2823-6838, 0000-0003-4198-9620, 0000-0001-5452-1918, 0000-0002-6365-5149, 0000-0002-6087-2666",Genomic Landscape of Cancer and Mutational Signatures,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,75,2,"['Cancer Genomics', 'Tumor Evolution', 'Exome', 'Single cell sequencing', 'Mutational Signatures', 'Intratumor Heterogeneity']"
10.1101/2023.04.01.535197,A Bayesian method to infer copy number clones from single-cell RNA and ATAC sequencing,2023,preprint,https://doi.org/10.1101/2023.04.01.535197,"0000-0002-3721-9984, 0000-0003-2721-4888, 0000-0002-2190-272X, 0000-0002-0264-4761, 0000-0002-2823-6838, 0000-0001-5452-1918, 0000-0003-4240-3265",Genomic Landscape of Cancer and Mutational Signatures,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,40,0,"['Cancer Epigenetics', 'Cancer Genomics', 'Cell Heterogeneity', 'Droplet-based Sequencing']"
10.1186/s12859-023-05221-3,LACE 2.0: an interactive R tool for the inference and visualization of longitudinal cancer evolution,2023,journal-article,https://doi.org/10.1186/s12859-023-05221-3,,Genomic Landscape of Cancer and Mutational Signatures,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,14,0,"['Lineage Tracking', 'Tumor Evolution', 'Interactive visualization', 'Spatial Profiling', 'Interface (matter)']"
10.1186/s12859-022-04779-8,J-SPACE: a Julia package for the simulation of spatial models of cancer evolution and of sequencing experiments,2022,journal-article,https://doi.org/10.1186/s12859-022-04779-8,0000-0002-3375-6686,Genomic Landscape of Cancer and Mutational Signatures,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,82,3,"['Spatial Profiling', 'Experimental Evolution', 'Benchmark (surveying)', 'Tumor Evolution', 'Indel', 'Leverage (statistics)']"
10.1038/s41467-022-30230-w,Variant calling from scRNA-seq data allows the assessment of cellular identity in patient-derived cell lines,2022,journal-article,https://doi.org/10.1038/s41467-022-30230-w,"0000-0003-4198-9620, 0000-0002-2823-6838, 0000-0001-5452-1918",Comprehensive Integration of Single-Cell Transcriptomic Data,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,18,7,"['RNA-Seq', 'Cellular Imaging', 'Droplet-based Sequencing', 'Cell Heterogeneity', 'Cell Sorting']"
10.1016/j.jocs.2021.101523,LACE: Inference of cancer evolution models from longitudinal single-cell sequencing data,2021,journal-article,https://doi.org/10.1016/j.jocs.2021.101523,"0000-0002-3375-6686, 0000-0003-4198-9620, 0000-0002-2823-6838, 0000-0001-5452-1918",Genomic Landscape of Cancer and Mutational Signatures,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,83,16,"['Lineage Tracking', 'Tumor Evolution', 'Droplet-based Sequencing', 'Cancer Genomics', 'Spatial Profiling', 'Single cell sequencing', 'Cancer genome sequencing']"
10.1101/2021.04.23.441151,Large-scale analysis of SARS-CoV-2 synonymous mutations reveals the adaptation to the human codon usage during the virus evolution,2021,preprint,https://doi.org/10.1101/2021.04.23.441151,"0000-0002-6087-2666, 0000-0002-3375-6686, 0000-0001-8519-4331, 0000-0002-2823-6838, 0000-0001-5452-1918",Ribosome Structure and Translation Mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,35,0,"['Silent mutation', 'Codon Usage', 'Nonsense', 'sequence variation', 'Synonymous substitution', 'Nonsense mutation']"
